tripid,001_P,002_P,003_P,004_P,005_P,006_P,007_P,008_P,009_P,010_P,011_P,012_P,013_P,014_P,015_P,016_P,017_P,018_P,019_P,020_P,021_P,022_P,023_P,024_P,025_P,026_P,027_P,028_P,029_P,030_P,031_P,032_P,033_P,034_P,035_P,036_P,037_P,038_P,039_P,040_P,041_P,042_P,043_P,044_P,045_P,046_P,047_P,048_P,049_P,050_P,051_P,052_P,053_P,054_P,055_P,056_P,057_P,058_P,059_P,060_P,061_P,062_P,063_P,064_P,065_P,066_P,067_P,068_P,069_P
0,4952.0,768.0,769.0,770.0,771.0,772.0,773.0,774.0,775.0,776.0,777.0,779.0,780.0,781.0,782.0,783.0,784.0,785.0,786.0,791.0,7576.0,7585.0,7587.0,345.0,318.0,312.0,1444.0,1445.0,1447.0,2637.0,2721.0,7012.0,2201.0,4401.0,2213.0,2214.0,2215.0,7184.0,7050.0,7185.0,7186.0,7187.0,3947.0,3892.0,3893.0,3895.0,3896.0,3897.0,3898.0,3899.0,3900.0,3901.0,3902.0,3904.0,3905.0,7085.0,7086.0,7087.0,7088.0,7089.0,7091.0,3910.0,3911.0,3912.0,3913.0,3914.0,3925.0,3008.0,6089.0
5002944,60600.0,60704.0,60754.0,60824.0,60853.0,60912.0,60944.0,60981.0,61031.0,61076.0,61107.0,61144.0,61215.0,61265.0,61309.0,61375.0,61419.0,61493.0,61624.0,61764.0,61828.0,62046.0,62299.0,62436.0,62564.0,62806.0,62932.0,63009.0,63124.0,63197.0,63361.0,63388.0,63686.0,63726.0,63882.0,63930.0,63987.0,64161.0,64248.0,64314.0,64346.0,64368.0,64408.0,64438.0,64489.0,64534.0,64552.0,64570.0,64578.0,64618.0,64656.0,64708.0,64743.0,64851.0,64964.0,64996.0,65164.0,65270.0,65398.0,65430.0,65543.0,65610.0,65633.0,65704.0,65740.0,65818.0,65921.0,65946.0,66037.0
5003277,63000.0,63104.0,63154.0,63224.0,63253.0,63312.0,63344.0,63381.0,63431.0,63476.0,63507.0,63544.0,63615.0,63665.0,63709.0,63775.0,63819.0,63893.0,64024.0,64164.0,64228.0,64446.0,64699.0,64836.0,64964.0,65206.0,65332.0,65409.0,65524.0,65597.0,65761.0,65788.0,66086.0,66126.0,66282.0,66330.0,66387.0,66561.0,66648.0,66714.0,66746.0,66768.0,66808.0,66838.0,66889.0,66934.0,66952.0,66970.0,66978.0,67018.0,67056.0,67108.0,67143.0,67251.0,67364.0,67396.0,67564.0,67670.0,67798.0,67830.0,67943.0,68010.0,68033.0,68104.0,68140.0,68218.0,68321.0,68346.0,68437.0
5004223,58800.0,58904.0,58954.0,59024.0,59053.0,59112.0,59144.0,59181.0,59231.0,59276.0,59307.0,59344.0,59415.0,59465.0,59509.0,59575.0,59619.0,59693.0,59824.0,59964.0,60028.0,60246.0,60499.0,60636.0,60764.0,61006.0,61132.0,61209.0,61324.0,61397.0,61561.0,61588.0,61886.0,61926.0,62082.0,62130.0,62187.0,62361.0,62448.0,62514.0,62546.0,62568.0,62608.0,62638.0,62689.0,62734.0,62752.0,62770.0,62778.0,62818.0,62856.0,62908.0,62943.0,63051.0,63164.0,63196.0,63364.0,63470.0,63598.0,63630.0,63743.0,63810.0,63833.0,63904.0,63940.0,64018.0,64121.0,64146.0,64237.0
5012808,62400.0,62504.0,62554.0,62624.0,62653.0,62712.0,62744.0,62781.0,62831.0,62876.0,62907.0,62944.0,63015.0,63065.0,63109.0,63175.0,63219.0,63293.0,63424.0,63564.0,63628.0,63846.0,64099.0,64236.0,64364.0,64606.0,64732.0,64809.0,64924.0,64997.0,65161.0,65188.0,65486.0,65526.0,65682.0,65730.0,65787.0,65961.0,66048.0,66114.0,66146.0,66168.0,66208.0,66238.0,66289.0,66334.0,66352.0,66370.0,66378.0,66418.0,66456.0,66508.0,66543.0,66651.0,66764.0,66796.0,66964.0,67070.0,67198.0,67230.0,67343.0,67410.0,67433.0,67504.0,67540.0,67618.0,67721.0,67746.0,67837.0
5085228,63000.0,63100.0,63148.0,63215.0,63242.0,63298.0,63328.0,63364.0,63412.0,63455.0,63485.0,63523.0,63592.0,63640.0,63682.0,63745.0,63787.0,63859.0,63985.0,64120.0,64181.0,64391.0,64634.0,64766.0,64889.0,65121.0,65242.0,65316.0,65427.0,65497.0,65655.0,65681.0,65968.0,66006.0,66156.0,66202.0,66257.0,66425.0,66509.0,66573.0,66602.0,66623.0,66661.0,66690.0,66739.0,66782.0,66799.0,66816.0,66824.0,66862.0,66898.0,66948.0,66981.0,67085.0,67193.0,67224.0,67385.0,67487.0,67610.0,67641.0,67749.0,67816.0,67838.0,67906.0,67940.0,68015.0,68115.0,68139.0,68227.0
5093439,58800.0,58900.0,58948.0,59015.0,59042.0,59098.0,59128.0,59164.0,59212.0,59255.0,59285.0,59323.0,59392.0,59440.0,59482.0,59545.0,59587.0,59659.0,59785.0,59920.0,59981.0,60191.0,60434.0,60566.0,60689.0,60921.0,61042.0,61116.0,61227.0,61297.0,61455.0,61481.0,61768.0,61806.0,61956.0,62002.0,62057.0,62225.0,62309.0,62373.0,62402.0,62423.0,62461.0,62490.0,62539.0,62582.0,62599.0,62616.0,62624.0,62662.0,62698.0,62748.0,62781.0,62885.0,62993.0,63024.0,63185.0,63287.0,63410.0,63441.0,63549.0,63616.0,63638.0,63706.0,63740.0,63815.0,63915.0,63939.0,64027.0
5093945,62400.0,62500.0,62548.0,62615.0,62642.0,62698.0,62728.0,62764.0,62812.0,62855.0,62885.0,62923.0,62992.0,63040.0,63082.0,63145.0,63187.0,63259.0,63385.0,63520.0,63581.0,63791.0,64034.0,64166.0,64289.0,64521.0,64642.0,64716.0,64827.0,64897.0,65055.0,65081.0,65368.0,65406.0,65556.0,65602.0,65657.0,65825.0,65909.0,65973.0,66002.0,66023.0,66061.0,66090.0,66139.0,66182.0,66199.0,66216.0,66224.0,66262.0,66298.0,66348.0,66381.0,66485.0,66593.0,66624.0,66785.0,66887.0,67010.0,67041.0,67149.0,67216.0,67238.0,67306.0,67340.0,67415.0,67515.0,67539.0,67627.0
5099107,60600.0,60700.0,60748.0,60815.0,60842.0,60898.0,60928.0,60964.0,61012.0,61055.0,61085.0,61123.0,61192.0,61240.0,61282.0,61345.0,61387.0,61459.0,61585.0,61720.0,61781.0,61991.0,62234.0,62366.0,62489.0,62721.0,62842.0,62916.0,63027.0,63097.0,63255.0,63281.0,63568.0,63606.0,63756.0,63802.0,63857.0,64025.0,64109.0,64173.0,64202.0,64223.0,64261.0,64290.0,64339.0,64382.0,64399.0,64416.0,64424.0,64462.0,64498.0,64548.0,64581.0,64685.0,64793.0,64824.0,64985.0,65087.0,65210.0,65241.0,65349.0,65416.0,65438.0,65506.0,65540.0,65615.0,65715.0,65739.0,65827.0
5102420,58800.0,58900.0,58948.0,59015.0,59042.0,59098.0,59128.0,59164.0,59212.0,59255.0,59285.0,59323.0,59392.0,59440.0,59482.0,59545.0,59587.0,59659.0,59785.0,59920.0,59981.0,60191.0,60434.0,60566.0,60689.0,60921.0,61042.0,61116.0,61227.0,61297.0,61455.0,61481.0,61768.0,61806.0,61956.0,62002.0,62057.0,62225.0,62309.0,62373.0,62402.0,62423.0,62461.0,62490.0,62539.0,62582.0,62599.0,62616.0,62624.0,62662.0,62698.0,62748.0,62781.0,62885.0,62993.0,63024.0,63185.0,63287.0,63410.0,63441.0,63549.0,63616.0,63638.0,63706.0,63740.0,63815.0,63915.0,63939.0,64027.0
5104272,62400.0,62500.0,62548.0,62615.0,62642.0,62698.0,62728.0,62764.0,62812.0,62855.0,62885.0,62923.0,62992.0,63040.0,63082.0,63145.0,63187.0,63259.0,63385.0,63520.0,63581.0,63791.0,64034.0,64166.0,64289.0,64521.0,64642.0,64716.0,64827.0,64897.0,65055.0,65081.0,65368.0,65406.0,65556.0,65602.0,65657.0,65825.0,65909.0,65973.0,66002.0,66023.0,66061.0,66090.0,66139.0,66182.0,66199.0,66216.0,66224.0,66262.0,66298.0,66348.0,66381.0,66485.0,66593.0,66624.0,66785.0,66887.0,67010.0,67041.0,67149.0,67216.0,67238.0,67306.0,67340.0,67415.0,67515.0,67539.0,67627.0
